Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Henry Frankowski,11/12/20,Pending investigation,No known charges,
Name withheld by police,11/12/20,Pending investigation,No known charges,
Brandon Milburn,11/11/20,Pending investigation,No known charges,
Chris Mellon,11/11/20,Pending investigation,No known charges,
Eric Lyn Clark,11/11/20,Pending investigation,No known charges,
Daniel David Reyes,11/10/20,Pending investigation,No known charges,
Daron Jones,11/10/20,Pending investigation,No known charges,
Douglas E. Rash,11/10/20,Pending investigation,No known charges,
Vusumuzi Kunene,11/10/20,Pending investigation,No known charges,
Rodney Eubanks,11/9/20,Pending investigation,No known charges,
Ronny Dunning,11/9/20,Pending investigation,No known charges,
Saul Robert Salgado,11/9/20,Pending investigation,No known charges,
Fredrick Cox Jr.,11/8/20,Pending investigation,No known charges,
Rodriguez Duandre Pam,11/8/20,Pending investigation,No known charges,
Terry David Fox,11/8/20,Pending investigation,No known charges,
Jesse James Kale Brown,11/7/20,Pending investigation,No known charges,
Steven Campos,11/7/20,Pending investigation,No known charges,
Wendy Jones,11/7/20,Pending investigation,No known charges,
David Viveros,11/6/20,Pending investigation,No known charges,
Jacob Rucker,11/5/20,Pending investigation,No known charges,
Javier Magana,11/5/20,Pending investigation,No known charges,
Luis Robert Zaragoza Barbosa,11/5/20,Pending investigation,No known charges,
Reginald Alexander Jr.,11/5/20,Pending investigation,No known charges,
Darren Butrick,11/4/20,Pending investigation,No known charges,
Dean Trasente,11/4/20,Pending investigation,No known charges,
Justin Hammack,11/4/20,Pending investigation,No known charges,
Justin Reed,11/4/20,Pending investigation,No known charges,
Michael Moza,11/4/20,Pending investigation,No known charges,
Michael Wright,11/4/20,Pending investigation,No known charges,
Guy Bradly Able,11/3/20,Pending investigation,No known charges,
Jason Neo Bourne,11/3/20,Pending investigation,No known charges,
Jessee Duane Bowers,11/3/20,Pending investigation,No known charges,
John Wesley Seymour,11/3/20,Pending investigation,No known charges,
Jonathan Torres Ramirez,11/3/20,Pending investigation,No known charges,
Caleb Slay,11/2/20,Pending investigation,No known charges,
John Mellone,11/2/20,Pending investigation,No known charges,
Thomas Celona,11/2/20,Pending investigation,No known charges,
Jason S. Cline,11/1/20,Pending investigation,No known charges,
Quincy Ivan Bishop,11/1/20,Pending investigation,No known charges,
Trifton Stacy Wacoche,11/1/20,Pending investigation,No known charges,
John Pacheaco Jr.,10/31/20,Pending investigation,No known charges,
Matthew Daniel Johnston,10/31/20,Pending investigation,No known charges,
Brandon Keith Davis,10/30/20,Pending investigation,No known charges,
Frank Murphy,10/30/20,Pending investigation,No known charges,
Name withheld by police,10/30/20,Pending investigation,No known charges,
Kevin Peterson Jr.,10/29/20,Pending investigation,No known charges,
"Rodolfo ""Rudy"" Martinez-Cortez",10/29/20,Pending investigation,No known charges,
Bennie Biby,10/28/20,Pending investigation,No known charges,
Charles Robert Arviso,10/28/20,Pending investigation,No known charges,
Justin Esqueda,10/28/20,Pending investigation,No known charges,
Clifton Gorman Spencer,10/27/20,Pending investigation,No known charges,
Isaac Lemoine Christensen,10/27/20,Pending investigation,No known charges,
Maurice Parker,10/27/20,Pending investigation,No known charges,
Ryan Fallo,10/27/20,Pending investigation,No known charges,
Bruce Allan Shumaker,10/26/20,Pending investigation,No known charges,
Michael K. Nelson,10/26/20,Pending investigation,No known charges,
Walter Wallace Jr.,10/26/20,Pending investigation,No known charges,
Paul Sarver,10/25/20,Pending investigation,No known charges,
Brandon Evans,10/24/20,Pending investigation,No known charges,
Jakerion Shmond Jackson,10/24/20,Pending investigation,No known charges,
Name withheld by police,10/24/20,Pending investigation,No known charges,
"Richard ""RJ"" James Jones",10/24/20,Pending investigation,No known charges,
Daniel Angel Villalobos-Baldovinos,10/23/20,Pending investigation,No known charges,
"Ennice ""Lil Rocc"" Ross Jr.",10/23/20,Pending investigation,No known charges,
John Lipski,10/23/20,Pending investigation,No known charges,
Marc Nevarez,10/23/20,Pending investigation,No known charges,
Name withheld by police,10/23/20,Pending investigation,No known charges,
Name withheld by police,10/23/20,Pending investigation,No known charges,
Name withheld by police,10/23/20,Pending investigation,No known charges,
Francisco Danny Flores,10/22/20,Pending investigation,No known charges,
Keith Beecroft,10/22/20,Pending investigation,No known charges,
Mark Matthew Bender,10/22/20,Pending investigation,No known charges,
Michael Nichols,10/22/20,Pending investigation,No known charges,
Name withheld by police,10/22/20,Pending investigation,No known charges,
Steven Belville,10/21/20,Pending investigation,No known charges,
Gregory Jackson,10/21/20,Pending investigation,No known charges,
Dominique Mulkey,10/20/20,Pending investigation,No known charges,
Emmett Cocreham,10/20/20,Pending investigation,No known charges,
George Cocreham,10/20/20,Pending investigation,No known charges,
James Collins,10/20/20,Pending investigation,No known charges,
Marcellis Stinnette,10/20/20,Pending investigation,No known charges,
Name withheld by police,10/20/20,Pending investigation,No known charges,
Rodney Arnez Barnes,10/20/20,Pending investigation,No known charges,
Bryan Selmer,10/19/20,Pending investigation,No known charges,
Ethan Freeman,10/19/20,Pending investigation,No known charges,
Joey Hoffman,10/19/20,Pending investigation,No known charges,
Jose Alfredo Castro-Gutierrez,10/19/20,Pending investigation,No known charges,
Name withheld by police,10/19/20,Pending investigation,No known charges,
Paul Sulkowski,10/19/20,Pending investigation,No known charges,
Chistopher John Kitts,10/18/20,Pending investigation,No known charges,
Gregory Putnik,10/18/20,Pending investigation,No known charges,
Name withheld by police,10/18/20,Pending investigation,No known charges,
Tutuila Pine Koonwaiyou,10/18/20,Pending investigation,No known charges,
Bradley Pugh,10/17/20,Pending investigation,No known charges,
Darren W. Randolph,10/17/20,Pending investigation,No known charges,
Paul Bailey,10/17/20,Pending investigation,No known charges,
Richard Romero,10/17/20,Pending investigation,No known charges,
Akbar Muhammad Eaddy,10/16/20,Pending investigation,No known charges,
Alberto Rivas,10/16/20,Pending investigation,No known charges,
Fred Williams III,10/16/20,Pending investigation,No known charges,
George Ludrou Job,10/16/20,Pending investigation,No known charges,
Jason Edward Galliart,10/16/20,Pending investigation,No known charges,
Justin Dawley,10/16/20,Pending investigation,No known charges,
Christopher Allen Kanouff,10/15/20,Pending investigation,No known charges,
Dana Mitchell Young Jr.,10/15/20,Pending investigation,No known charges,
Name withheld by police,10/15/20,Pending investigation,No known charges,
William Earl Lane,10/15/20,Pending investigation,No known charges,
Edwin Morales,10/14/20,Pending investigation,No known charges,
Jason Arpad Peters,10/14/20,Pending investigation,No known charges,
Jericho Wynos,10/14/20,Pending investigation,No known charges,
Kevin Carr,10/14/20,Pending investigation,No known charges,
Steven Vest,10/14/20,Pending investigation,No known charges,
Yoel Arnaldo Mejia Santel,10/14/20,Pending investigation,No known charges,
Jose Marcos Ramirez,10/13/20,Pending investigation,No known charges,
Miguel A. Nevarez Jr.,10/13/20,Pending investigation,No known charges,
Rodney Ross,10/13/20,Pending investigation,No known charges,
Anthony Jones,10/12/20,Pending investigation,No known charges,
Cole F. Stump,10/12/20,Pending investigation,No known charges,
Julie Fandino,10/12/20,Murder/Suicide,No known charges,
Matthew Montoya,10/12/20,Pending investigation,No known charges,
Cesar Vargas,10/10/20,Pending investigation,No known charges,
Shawn Campbell,10/10/20,Pending investigation,No known charges,
Anthony Michael Legato,10/9/20,Pending investigation,No known charges,
Ariel Esau Lujan,10/9/20,Pending investigation,No known charges,
Kalun Purucker,10/9/20,Pending investigation,No known charges,
Sylvia Kirchner,10/9/20,Pending investigation,No known charges,
Justin Caldwell,10/8/20,Pending investigation,No known charges,
Shayne Allen Sutherland,10/8/20,Pending investigation,No known charges,
Stanley Cochran,10/8/20,Pending investigation,No known charges,
Tyran Dent,10/8/20,Pending investigation,No known charges,
William Sendelbach,10/8/20,Pending investigation,No known charges,
Chester McDonald,10/6/20,Pending investigation,No known charges,
Crystal Renee Starling Mcclinton,10/6/20,Pending investigation,No known charges,
Douglas Sanchez,10/6/20,Pending investigation,No known charges,
John Hare,10/6/20,Pending investigation,No known charges,
Nick Burgos,10/6/20,Pending investigation,No known charges,
Juan Adrian Garcia,10/5/20,Pending investigation,No known charges,
Andrew A. Williams,10/4/20,Pending investigation,No known charges,
Austin Manzano,10/4/20,Pending investigation,No known charges,
Christopher Ulmer,10/4/20,Pending investigation,No known charges,
Diego Eguino-Alcala,10/4/20,Pending investigation,No known charges,
John Aycoth,10/3/20,Pending investigation,No known charges,
Jonathan Price,10/3/20,Charged with murder,Charged with a crime,
Eric Marc-Matthew Allport,10/2/20,Pending investigation,No known charges,
James Edward Baker,10/2/20,Pending investigation,No known charges,
Jason Rodriguez,10/2/20,Pending investigation,No known charges,
Justin Lee Tofte,10/2/20,Pending investigation,No known charges,
Mickel Erich Lewis Sr.,10/2/20,Pending investigation,No known charges,
Name withheld by police,10/1/20,Pending investigation,No known charges,
DeMarco Riley,9/30/20,Pending investigation,No known charges,
Jarred Kemp,9/30/20,Pending investigation,No known charges,
Kirby Joseph Michael Hengel,9/29/20,Pending investigation,No known charges,
Name withheld by police,9/28/20,Pending investigation,No known charges,
Willie Shropshire Jr.,9/28/20,Pending investigation,No known charges,
Eloy Mares Gonzalez Jr,9/27/20,Pending investigation,No known charges,
James Lucachevitz,9/27/20,Pending investigation,No known charges,
Angel Benitez,9/25/20,Pending investigation,No known charges,
Christopher Michael Straub,9/24/20,Pending investigation,No known charges,
"Erik ""Ace"" Mahoney",9/24/20,Pending investigation,No known charges,
Jessie A. Hudnall,9/24/20,Pending investigation,No known charges,
Matthew Nocerino,9/24/20,Pending investigation,No known charges,
Randy Fedorchuk,9/24/20,Pending investigation,No known charges,
Kurt Andras Reinhold,9/23/20,Pending investigation,No known charges,
Jeffery Ryan Blunk,9/22/20,Pending investigation,No known charges,
Victor Sanchez,9/22/20,Pending investigation,No known charges,
Dearian Bell,9/21/20,Pending investigation,No known charges,
Julia Anne Moss,9/21/20,Pending investigation,No known charges,
Name withheld by police,9/21/20,Pending investigation,No known charges,
Patches Vojon Holmes Jr.,9/21/20,Pending investigation,No known charges,
Andrea Churna,9/20/20,Pending investigation,No known charges,
Charles Eric Moses Jr.,9/19/20,Pending investigation,No known charges,
Derek Cooper,9/19/20,Pending investigation,No known charges,
Joshua Sarrett,9/19/20,Pending investigation,No known charges,
Matthew C. Knowlden,9/18/20,Pending investigation,No known charges,
Matthew Lyvon Paul,9/18/20,Pending investigation,No known charges,
Name withheld by police,9/18/20,Pending investigation,No known charges,
Name withheld by police,9/18/20,Pending investigation,No known charges,
Rickey Wayne Riney,9/18/20,Pending investigation,No known charges,
Scott Heisler,9/18/20,Pending investigation,No known charges,
Nicholas Morales-Bessannia,9/17/20,Pending investigation,No known charges,
Name withheld by police,9/16/20,Pending investigation,No known charges,
Clay A. Reynolds,9/15/20,Pending investigation,No known charges,
Darrell Wayne Zemault Sr.,9/15/20,Pending investigation,No known charges,
Ricardo Miguel Munoz,9/13/20,Pending investigation,No known charges,
Christopher Escobedo,9/12/20,Pending investigation,No known charges,
Robert Coleman,9/12/20,Pending investigation,No known charges,
Joshua Clayton Brant,9/11/20,Pending investigation,No known charges,
"Glenn ""G"" Alvin Eldridge",9/10/20,Pending investigation,No known charges,
